"67","94933-3","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"63.5 x 46  Base 13 ( Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"68","98133-3","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","CRISTAL","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"62 x 58 Base 13 (Cadena 52 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"69","C2027-3/CO","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","Café obscuro","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"41 x 43.5  Base 13 ( Cadena 50 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"70","96233-3","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"49.5 x 40 Base 13 ( Cadena 51.5 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"71","C1083-3","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero Forjado","CRISTAL AMBAR","VERDE ANTIGUO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"48 x 65 Base 13 ( Cadena 50 de 1/8","N/A","Incandescente","Opcional","Interior","S/C",,,,"A"
"72","C2027-3/S","Techo","World of Ligths","180","50-60 Hz","127 V~","1.4","189","Acero","CRISTAL","SATINADO","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"41 x 43.5  Base 13 ( Cadena 50 de 1/8)","N/A","Incandescente","Opcional","Interior","S/C",,,,"B"
"73","HS-5018-3","Muro","WINGMEI ","150","50-60 Hz","127 V~","1.3","157.5","Acero","Cristal","Cromado","N/A","20","N/A","N/A","N/A","N/A","GU10","3",,"46 x 15 x ( Foco Ø 5.8 x 10 ) ","N/A","Incandescente/LED","GU10","Interior","S/C",,"43626",,"A"
"74","V2023","Techo","WINGMEI ","150","50-60 Hz","127 V~","1.2","157.5","Acero","Cristal","Cromado","N/A","20","N/A","N/A","N/A","N/A","GU10","3",,"8 Ø x 23 + 61 Cable x ( Base 57  )","N/A","Incandescente/LED","GU10","Interior","S/C",,,,"A"
"75","HS-5013-3","Techo","Leader Ligthing","150","50-60 Hz","127 V~","1.3","157.5","Acero","N/A","Satinado","N/A","20","N/A","N/A","N/A","N/A","GU10","3",,"60 x 13.3  x ( Base 10 Ø x 2.5)","N/A","Incandescente/LED","GU10","Interior","S/C",,,,"A"
"76","CH-3610-3","Techo","Leader Ligthing","120","50-60 Hz","127 V~","0.9","126","Acero","Cristal","Satinado","N/A","20","N/A","N/A","N/A","N/A","G9","3",,"49 x 13 (Pantalla 7.8 Ø x 10.2) x ( Base 10 Ø )","N/A","Incandescente","G9","Interior","S/C",,,,"DESCONTINUADO"
"77","HS-5028-3","Techo","Leader Ligthing","120","50-60 Hz","127 V~","0.9","126","Acero","Cristal","Satinado","N/A","20","N/A","N/A","N/A","N/A","G9","3",,"60 x 17.5  x ( Pantalla 8 Ø )  x (Base 10 x 6.5 x 2.5)","N/A","Incandescente","G9","Interior","S/C",,,,"C"
"78","C220/BL-3","Techo","Lightwell ","120","50-60 Hz","125 V~","1","126","Acero","Acero","Blanco","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"Ø 35 x 100","N/A","Incandescente","Opcional","Interior","S/C",,,,"NUEVO"
"79","C077/NE-3","Techo","Lightwell ","120","50-60 Hz","125 V~","1","126","Acero","Acero","Negro","N/A","20","N/A","N/A","N/A","N/A","E27","3",,"Ø35 x (altura 84 x 65 x 49)","N/A","Incandescente","Opcional","Interior","S/C",,,,"NUEVO"
"80","1702/N","Montaje","Nacional","240","50-60 Hz","125 V~","1.4","252","Poste Acero, Farol Aluminio ","CRISTAL","Negro","N/A","54","N/A","N/A","N/A","N/A","E27","3",,"Poste 2.4 mts x  80","N/A","Incandescente","Opcional","Exterior","S/C",,,,"DESCONTINUADO"
"81","1702/O","Montaje","Nacional","240","50-60 Hz","125 V~","1.4","252","Poste Acero, Farol Aluminio ","CRISTAL","Oxido","N/A","54","N/A","N/A","N/A","N/A","E27","3",,"Poste 2.4 mts x  80","N/A","Incandescente","Opcional","Exterior","S/C",,,,"SOBREPEDIDO"
"82","PE1702N","Montaje","Nacional","240","50-60 Hz","125 V~","1.4","252","Poste Acero, Farol Aluminio ","CRISTAL","Negro","N/A","54","N/A","N/A","N/A","N/A","E27","3",,"80 x 2.4 m","N/A","Incandescente","Opcional","Exterior","S/C",,,,"C"
